dataset,path,identity,action,conf,area_fraction,x1,y1,x2,y2,overlay
Zakynthos,images/leftIMG_0958.JPG,G16-25,skipped_small,0.9093243479728699,0.015958232782866063,1125.7734375,964.73046875,1745.4842529296875,1478.7701416015625,Zakynthos/overlay/0000_leftIMG_0958.jpg
Zakynthos,images/rightIMG_0961.JPG,G16-25,skipped_small,0.8458288311958313,0.028971967266903542,2776.59619140625,1214.9677734375,3606.365966796875,1911.9493408203125,Zakynthos/overlay/0001_rightIMG_0961.jpg
Zakynthos,images/leftIMG_1300.JPG,G16-25,skipped_small,0.9110324382781982,0.048659461309119564,1341.1959228515625,1204.3458251953125,2424.47216796875,2101.00830078125,Zakynthos/overlay/0002_leftIMG_1300.jpg
Zakynthos,images/rightIMG_1280.JPG,G16-25,skipped_small,0.9279903769493103,0.0791814644955104,2697.5537109375,1339.4495849609375,4192.181640625,2396.976318359375,Zakynthos/overlay/0003_rightIMG_1280.jpg
Zakynthos,images/leftIMG_1084.JPG,t551,no_detection,,,,,,,Zakynthos/overlay/0004_leftIMG_1084.jpg
Zakynthos,images/rightIMG_1083.JPG,t551,skipped_small,0.7803878784179688,0.01634430856780087,3179.886474609375,1423.83349609375,3841.3115234375,2016.8914794921875,Zakynthos/overlay/0005_rightIMG_1083.jpg
Zakynthos,images/rightIMG_9374.jpeg,t551,skipped_small,0.824339747428894,0.0077400165643786226,2477.478759765625,1244.8856201171875,2947.203857421875,1573.812255859375,Zakynthos/overlay/0006_rightIMG_9374.jpg
Zakynthos,images/leftIMG_9370.jpeg,t551,skipped_small,0.4952400028705597,0.007727511563974807,1990.7950439453125,934.002685546875,2433.07275390625,1282.77783203125,Zakynthos/overlay/0007_leftIMG_9370.jpg
Zakynthos,images/rightIMG_3731.JPG,G15-03,cropped,0.9469221234321594,0.1219489923826545,2336.718994140625,330.8836669921875,4235.69482421875,1612.800048828125,Zakynthos/overlay/0008_rightIMG_3731.jpg
Zakynthos,images/leftIMG_3727.JPG,G15-03,skipped_small,0.868389904499054,0.024311095118537233,1566.7071533203125,1357.072998046875,2351.951904296875,1975.0899658203125,Zakynthos/overlay/0009_leftIMG_3727.jpg
Zakynthos,images/rightIMG_2835.JPG,G15-03,skipped_small,0.8824766874313354,0.022824583519152335,2189.93603515625,1742.2469482421875,2885.359375,2397.417724609375,Zakynthos/overlay/0010_rightIMG_2835.jpg
Zakynthos,images/leftIMG_2832.JPG,G15-03,skipped_small,0.9576529860496521,0.06320603524456546,1149.730224609375,831.6074829101562,2500.5830078125,1765.6173095703125,Zakynthos/overlay/0011_leftIMG_2832.jpg
Zakynthos,images/leftIMG_9503.JPG,beach031,skipped_small,0.38693633675575256,0.011102162969426553,1535.7720947265625,845.919921875,2009.9019775390625,1313.3441162109375,Zakynthos/overlay/0012_leftIMG_9503.jpg
Zakynthos,images/rightIMG_9509.JPG,beach031,skipped_small,0.8893190026283264,0.013107958903374638,3159.6806640625,1048.7655029296875,3673.992431640625,1557.521484375,Zakynthos/overlay/0013_rightIMG_9509.jpg
Zakynthos,images/leftIMG_2623.JPG,beach031,no_detection,,,,,,,Zakynthos/overlay/0014_leftIMG_2623.jpg
Zakynthos,images/rightIMG_2620.JPG,beach031,no_detection,,,,,,,Zakynthos/overlay/0015_rightIMG_2620.jpg
Zakynthos,images/rightIMG_5626.JPG,t499,skipped_small,0.8832569122314453,0.030577753307171104,3496.44482421875,1219.6131591796875,4410.580078125,1887.335693359375,Zakynthos/overlay/0016_rightIMG_5626.jpg
Zakynthos,images/leftIMG_5632.JPG,t499,skipped_small,0.8766631484031677,0.039160789845809174,1210.0238037109375,884.5509643554688,2247.87109375,1637.765869140625,Zakynthos/overlay/0017_leftIMG_5632.jpg
Zakynthos,images/rightIMG_1446.JPG,t499,skipped_small,0.8036417365074158,0.007658732892444657,2532.305419921875,1122.9097900390625,2956.759033203125,1483.096435546875,Zakynthos/overlay/0018_rightIMG_1446.jpg
Zakynthos,images/leftIMG_1457.JPG,t499,skipped_small,0.6096741557121277,0.030000737195397642,1662.2177734375,1236.8446044921875,2524.05029296875,1931.724853515625,Zakynthos/overlay/0019_leftIMG_1457.jpg
Zakynthos,images/rightIMG_2263.JPG,t459,skipped_small,0.7416759133338928,0.039272415637358456,2582.947998046875,1281.65771484375,3550.4892578125,2091.90771484375,Zakynthos/overlay/0020_rightIMG_2263.jpg
Zakynthos,images/leftIMG_2259.JPG,t459,skipped_small,0.7708893418312073,0.01968073279791855,1633.2430419921875,1919.3160400390625,2348.667724609375,2468.449951171875,Zakynthos/overlay/0021_leftIMG_2259.jpg
Zakynthos,images/rightIMG_1206.JPG,t459,no_detection,,,,,,,Zakynthos/overlay/0022_rightIMG_1206.jpg
Zakynthos,images/leftIMG_1205.JPG,t459,skipped_small,0.8274379968643188,0.02490827507868404,982.8850708007812,633.9641723632812,1799.80517578125,1242.6104736328125,Zakynthos/overlay/0023_leftIMG_1205.jpg
Zakynthos,images/rightIMG_2776.JPG,G17-02,skipped_small,0.8647897243499756,0.07138710663154854,2794.7119140625,1155.947265625,4159.685546875,2199.9375,Zakynthos/overlay/0024_rightIMG_2776.jpg
Zakynthos,images/leftIMG_2799.JPG,G17-02,skipped_small,0.8773112297058105,0.055288720485053816,1113.8775634765625,523.1818237304688,2411.99853515625,1373.3841552734375,Zakynthos/overlay/0025_leftIMG_2799.jpg
Zakynthos,images/rightIMG_7378.JPG,G17-02,skipped_small,0.7060851454734802,0.05506925867393287,2771.125244140625,688.5496215820312,4041.663330078125,1553.761474609375,Zakynthos/overlay/0026_rightIMG_7378.jpg
Zakynthos,images/leftIMG_7373.JPG,G17-02,skipped_small,0.8042894005775452,0.021829316795588822,2192.8037109375,1798.8760986328125,2966.423095703125,2362.142333984375,Zakynthos/overlay/0027_leftIMG_7373.jpg
Zakynthos,images/rightIMG_0865.jpeg,t575,cropped,0.9394604563713074,0.12511948908724357,2487.576171875,705.2225341796875,4240.5361328125,2130.0224609375,Zakynthos/overlay/0028_rightIMG_0865.jpg
